Broker Pseudonym,Contract Status Type,Entry Status,In Force Today,Inception Date,Info,Policy Reference Record ID,As if policy premium,Benchmark Net Premium,Committed RRV %,Gross Written Premium Aspen Share,Incurred Claims Aspen Share,Net Written Premium Aspen Share,Technical Adequacy %,Total Acquisition cost
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,000001,,,,36687.34,5183,32610.97,,4076.37
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,000002,,,,38847.87,,32373.25,,6474.62
Swaniawsk-Runte,Bound,LIVE,N,05-08-2013,i,000017,,,,42903.66,,35395.52,,7508.14
Swaniawsk-Runte,Bound,LIVE,N,05-08-2013,i,000018,,,,48110.46,,37963.37,,10147.09
Swaniawsk-Runte,Bound,LIVE,N,17-08-2013,i,000025,,,,8077.7,,6664.1,,1413.6
Swaniawsk-Runte,Bound,LIVE,N,17-08-2013,i,000026,,,,7635,,6108,,1527
Wolf and Quigley,Bound,LIVE,N,30-11-2013,i,000039,,,,27950,2238.15,26552.5,,1397.5
Wolf and Quigley,Bound,LIVE,N,30-11-2013,i,000040,,,,20000,,19000,,1000
Huel Wintheiser,Bound,LIVE,N,01-05-2013,i,000053,,,,384952.11,311050.64,371478.79,,13473.32
Huel Wintheiser,Bound,LIVE,N,01-05-2013,i,000054,,,,219540.71,140214.98,211856.79,,7683.92
Rodriguez and Sons,Bound,LIVE,N,31-07-2013,i,000063,,,,20348.78,,18313.91,,2034.87
Rodriguez and Sons,Bound,LIVE,N,31-07-2013,i,000064,,,,18954.8,,16585.46,,2369.34
Huel Wintheiser,Bound,LIVE,N,01-09-2013,i,000077,,,,255991.73,40524.85,247032.02,,8959.71
Huel Wintheiser,Bound,LIVE,N,01-09-2013,i,000078,,,,270701.15,35926.26,261226.61,,9474.54
Zemlak Inc,Bound,LIVE,N,01-09-2013,i,000091,,,,33000,111410.75,26400,,6600
Zemlak Inc,Bound,LIVE,N,01-09-2013,i,000092,,,,68063.22,2340,54450.58,,13612.64
Swaniawsk-Runte,Bound,LIVE,N,31-10-2013,i,000093,,,,9246,,7627.95,,1618.05
Swaniawsk-Runte,Bound,LIVE,N,31-10-2013,i,000094,,,,8050,,6440,,1610
Ebert Inc,Bound,LIVE,N,30-09-2013,i,000107,,,,461087,537579.89,444948.96,,16138.04
Wolf and Quigley,Bound,LIVE,N,31-07-2013,i,000111,,,,95656,386575.47,92308.04,,3347.96
Wolf and Quigley,Bound,LIVE,N,31-07-2013,i,000112,,,,94572,7656.65,91261.98,,3310.02
Mills and Sons,Bound,LIVE,N,27-09-2013,i,000125,,,,2827.2428,,2403.1564,,424.0864
Mills and Sons,Bound,LIVE,N,27-09-2013,i,000126,,,,2658.4522,,2126.7618,,531.6904
Ebert Inc,Bound,LIVE,N,01-10-2013,i,000139,,,,202306.5,1347.5,195694.83,,6611.67
Ebert Inc,Bound,LIVE,N,01-10-2013,i,000140,,,,8000,1740,7720,,280
Little and Sons,Bound,LIVE,N,01-10-2013,i,000145,,,,43000,,36550,,6450
Little and Sons,Bound,LIVE,N,01-10-2013,i,000146,,,,18000,,14400,,3600
Lang Rolfson Inc,Bound,LIVE,N,01-11-2013,i,000149,,,,500,,450,,50
Lang Rolfson Inc,Bound,LIVE,N,01-11-2013,i,000150,,,,14500,,13050,,1450
"Kozey, Streich and Deckow",Bound,LIVE,N,04-10-2013,i,000155,,,,21500,,17200,,4300
Bradtke-Lind,Bound,LIVE,N,20-10-2013,i,000160,,,,87750,99690.61,76781.25,,10968.75
Bradtke-Lind,Bound,LIVE,N,20-10-2013,i,000161,,,,8890,,7778.75,,1111.25
Swaniawsk-Runte,Bound,LIVE,N,01-04-2013,i,000174,,,,12850,1205,10601.25,,2248.75
Swaniawsk-Runte,Bound,LIVE,N,01-04-2013,i,000175,,,,11100,,8880,,2220
Bradtke-Lind,Bound,LIVE,N,31-10-2013,i,000182,,,,134919.65,1031701.16,134919.65,,0
Bradtke-Lind,Bound,LIVE,N,31-10-2013,i,000183,,,,77268.9,,77268.9,,0
Bradtke-Lind,Bound,LIVE,N,01-11-2013,i,000196,,,,10063.25,200,8302.18,,1761.07
Bradtke-Lind,Bound,LIVE,N,01-11-2013,i,000197,,,,21834.1,21,16921.42,,4912.68
Kling and O'Kon,Bound,LIVE,N,01-11-2013,i,000210,,,,19178.3157,194607.2292,15822.1105,,3356.2052
Kling and O'Kon,Bound,LIVE,N,01-11-2013,i,000211,,,,3835.6631,,2972.6389,,863.0242
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,000224,,,,43480,33182.72,33458.99,,10021.01
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,000225,,,,49540,,37155,,12385
Lang Rolfson Inc,Bound,LIVE,N,01-03-2013,i,000240,,,,204840.12,85308.53,184356.11,,20484.01
Ebert Inc,Bound,LIVE,N,01-04-2013,i,000246,,,,31811,126256.58,30697.62,,1113.38
Ebert Inc,Bound,LIVE,N,01-04-2013,i,000247,,,,5000,,4825,,175
Ebert Inc,Bound,LIVE,N,01-04-2013,i,000262,,,,23800,,22967,,833
Ebert Inc,Bound,LIVE,N,01-04-2013,i,000263,,,,5000,,4825,,175
Zemlak Inc,Bound,LIVE,N,12-04-2013,i,000278,,,,96000,40680.2,93600,,2400
Zemlak Inc,Bound,LIVE,N,12-04-2013,i,000279,,,,32000,,31200,,800
Swaniawsk-Runte,Bound,LIVE,N,30-04-2013,i,000294,,,,24000,,19800,,4200
Swaniawsk-Runte,Bound,LIVE,N,30-04-2013,i,000295,,,,8000,7468.9,6400,,1600
Bergnaum Group,Bound,LIVE,N,30-04-2013,i,000310,,,,41330,1872,39883.45,,1446.55
Bergnaum Group,Bound,LIVE,N,30-04-2013,i,000311,,,,8500,7791,8202.5,,297.5
"Kozey, Streich and Deckow",Bound,LIVE,N,17-05-2013,i,000324,,,,14000,,11550,,2450
"Kozey, Streich and Deckow",Bound,LIVE,N,17-05-2013,i,000325,,,,14000,,10850,,3150
Klein Group,Bound,LIVE,N,01-06-2013,i,000340,,,,516000,572060.5,516000,,0
Klein Group,Bound,LIVE,N,01-06-2013,i,000341,,,,34000,3128.76,34000,,0
Swaniawsk-Runte,Bound,LIVE,N,30-06-2013,i,000348,,,,59000,8599.1,50150,,8850
Swaniawsk-Runte,Bound,LIVE,N,30-06-2013,i,000349,,,,18000,,15300,,2700
Jones-Willms,Bound,LIVE,N,10-06-2013,i,000362,,,,44100,,36382.5,,7717.5
Jones-Willms,Bound,LIVE,N,10-06-2013,i,000363,,,,12900,,10642.5,,2257.5
Bergnaum Group,Bound,LIVE,N,01-06-2013,i,000376,,,,79994,26765.41,79994,,0
Bergnaum Group,Bound,LIVE,N,01-06-2013,i,000377,,,,36000,7096,36000,,0
Kling and O'Kon,Bound,LIVE,N,25-06-2013,i,000386,,,,30000,,25500,,4500
Kling and O'Kon,Bound,LIVE,N,25-06-2013,i,000387,,,,11000,,9350,,1650
Swaniawsk-Runte,Bound,LIVE,N,21-06-2013,i,000396,,,,57150,,47148.75,,10001.25
Swaniawsk-Runte,Bound,LIVE,N,21-06-2013,i,000397,,,,12623,,10098.4,,2524.6
Huel Wintheiser,Bound,LIVE,N,31-08-2013,i,000410,,,,6841,,6601.57,,239.43
Huel Wintheiser,Bound,LIVE,N,31-08-2013,i,000411,,,,8455,24170.38,8159.08,,295.92
Huel Wintheiser,Bound,LIVE,N,30-06-2013,i,000412,,,,68895.74,11126.86,66484.39,,2411.35
Huel Wintheiser,Bound,LIVE,N,30-06-2013,i,000413,,,,16722.61,,16137.32,,585.29
Zemlak Inc,Bound,LIVE,N,01-10-2013,i,000426,,,,264000,586296.86,257400,,6600
Zemlak Inc,Bound,LIVE,N,01-10-2013,i,000427,,,,46662,5110,45495.45,,1166.55
Jones-Willms,Bound,LIVE,N,28-06-2013,i,000430,,,,16000,,13200,,2800
Jones-Willms,Bound,LIVE,N,28-06-2013,i,000431,,,,16650,1050,12903.75,,3746.25
Wolf and Quigley,Bound,LIVE,N,29-06-2013,i,000444,,,,6937.5,715,6417.19,,520.31
Wolf and Quigley,Bound,LIVE,N,29-06-2013,i,000445,,,,6937.5,,6417.19,,520.31
Bergnaum Group,Bound,LIVE,N,01-07-2013,i,000452,,,,26000,,25350,,650
Bergnaum Group,Bound,LIVE,N,01-07-2013,i,000453,,,,28000,,27300,,700
"Rath, O'Hara and Casper",Bound,LIVE,N,01-01-2013,i,000464,,,,70000,,70000,,0
"Rath, O'Hara and Casper",Bound,LIVE,N,01-01-2013,i,000465,,,,26243.88,,26243.88,,0
Gottlieb and Veum,Bound,LIVE,N,04-07-2013,i,000470,,,,9250,,7400,,1850
Gottlieb and Veum,Bound,LIVE,N,04-07-2013,i,000471,,,,6750,3308.59,5062.5,,1687.5
Gottlieb and Veum,Bound,LIVE,N,31-07-2013,i,000484,,,,8500,,6800,,1700
Gottlieb and Veum,Bound,LIVE,N,31-07-2013,i,000485,,,,7750,,5812.5,,1937.5
Zemlak Inc,Bound,LIVE,N,30-07-2013,i,000498,,,,7500,,6000,,1500
Zemlak Inc,Bound,LIVE,N,30-07-2013,i,000499,,,,8500,,6800,,1700
Wolf and Quigley,Bound,LIVE,N,29-08-2013,i,000512,,,,8630,,7119.75,,1510.25
Wolf and Quigley,Bound,LIVE,N,29-08-2013,i,000513,,,,3000,,2250,,750
Swaniawsk-Runte,Bound,LIVE,N,01-09-2013,i,000526,,,,92854.72,62030.32,76192.41,,16662.31
Swaniawsk-Runte,Bound,LIVE,N,01-09-2013,i,000527,,,,31398,921,25118.4,,6279.6
"Schmitt, Kovacek and Price",Bound,LIVE,N,04-02-2013,i,000540,,,,15200,,12920,,2280
"Schmitt, Kovacek and Price",Bound,LIVE,N,04-02-2013,i,000541,,,,25383.97,,20902.35,,4481.62
Rodriguez and Sons,Bound,LIVE,N,05-04-2013,i,000556,,,,9335.95,,7935.56,,1400.39
Rodriguez and Sons,Bound,LIVE,N,05-04-2013,i,000557,,,,14400,,11520,,2880
Gottlieb and Veum,Bound,LIVE,N,01-07-2013,i,000560,,,,22863.54,492,18290.83,,4572.71
Gottlieb and Veum,Bound,LIVE,N,01-07-2013,i,000561,,,,23242.63,,17431.97,,5810.66
Bradtke-Lind,Bound,LIVE,N,30-09-2013,i,000574,,,,12400,,10230,,2170
Bradtke-Lind,Bound,LIVE,N,30-09-2013,i,000575,,,,10355,,8025.12,,2329.88
Lang Rolfson Inc,Bound,LIVE,N,01-01-2013,i,000576,,,,553918.75,100404.57,540070.78,,13847.97
Jones-Willms,Bound,LIVE,N,25-06-2013,i,000583,,,,10048.5,896.1,8792.44,,1256.06
Jones-Willms,Bound,LIVE,N,25-06-2013,i,000584,,,,7657.87,,6317.74,,1340.13
"Swaniawski, Jones and Stroman",Bound,LIVE,N,01-10-2013,i,000597,,,,5000,,4125,,875
"Swaniawski, Jones and Stroman",Bound,LIVE,N,01-10-2013,i,000598,,,,5000,,4125,,875
Gutmann Inc,Bound,LIVE,N,01-09-2013,i,000611,,,,67095.89,1600,55354.11,,11741.78
Gutmann Inc,Bound,LIVE,N,01-09-2013,i,000612,,,,24349.32,797.5,19479.46,,4869.86
Lang Rolfson Inc,Bound,LIVE,N,26-09-2013,i,000617,,,,12000,,11700,,300
Lang Rolfson Inc,Bound,LIVE,N,26-09-2013,i,000618,,,,82414.19,,80353.84,,2060.35
Gutmann Inc,Bound,LIVE,N,23-10-2013,i,000621,,,,46885,1440,38680.12,,8204.88
Gutmann Inc,Bound,LIVE,N,23-10-2013,i,000622,,,,31680,,25344,,6336
Jones-Willms,Bound,LIVE,N,01-11-2013,i,000635,,,,9075,22,9075,,0
Jones-Willms,Bound,LIVE,N,01-11-2013,i,000636,,,,6500,,5222.75,,1277.25
Gottlieb and Veum,Bound,LIVE,N,12-07-2013,i,000639,,,,5485,,3964,,1521
Gottlieb and Veum,Bound,LIVE,N,12-07-2013,i,000646,,,,16000,,12000,,4000
Gottlieb and Veum,Bound,LIVE,N,01-08-2013,i,000653,,,,38500,,29474.98,,9025.02
Gottlieb and Veum,Bound,LIVE,N,01-08-2013,i,000660,,,,28800,,21600,,7200
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,000667,,,,3588.25,,2704.97,,883.28
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,000675,,,,3588.25,,2691.19,,897.06
Gottlieb and Veum,Bound,LIVE,N,31-08-2013,i,000683,,,,2943.27,5331.89,2288.28,,654.99
Gottlieb and Veum,Bound,LIVE,N,31-08-2013,i,000686,,,,2943.27,160.78,2266.32,,676.95
Bergnaum Group,Bound,LIVE,N,01-09-2013,i,000689,,,,23250,25924.66,21796.88,,1453.12
Bergnaum Group,Bound,LIVE,N,01-09-2013,i,000691,,,,14175,,13289.06,,885.94
Gottlieb and Veum,Bound,LIVE,N,23-08-2013,i,000693,,,,6925.63,,5194.22,,1731.41
Gottlieb and Veum,Bound,LIVE,N,01-09-2013,i,000694,,,,6260.82,,5001.88,,1258.94
Gottlieb and Veum,Bound,LIVE,N,01-09-2013,i,000696,,,,6260.82,,4820.83,,1439.99
Gottlieb and Veum,Bound,LIVE,N,04-09-2013,i,000698,,,,495,,408.38,,86.62
Gottlieb and Veum,Bound,LIVE,N,04-09-2013,i,000704,,,,495,,381.15,,113.85
Gottlieb and Veum,Bound,LIVE,N,26-08-2013,i,000710,,,,2409.83,,1848.19,,561.64
Gottlieb and Veum,Bound,LIVE,N,26-08-2013,i,000717,,,,2409.83,,1855.57,,554.26
Gottlieb and Veum,Bound,LIVE,N,16-08-2013,i,000724,,,,3003.83,,2338.24,,665.59
Gottlieb and Veum,Bound,LIVE,N,16-08-2013,i,000731,,,,3003.83,,2312.95,,690.88
Gutmann Inc,Bound,LIVE,N,08-09-2013,i,000738,,,,17600,,16280,,1320
Gutmann Inc,Bound,LIVE,N,08-09-2013,i,000739,,,,4420,,4088.5,,331.5
Gottlieb and Veum,Bound,LIVE,N,01-10-2013,i,000740,,,,22800,,18240,,4560
Gottlieb and Veum,Bound,LIVE,N,01-10-2013,i,000743,,,,22800,,17100,,5700
Gottlieb and Veum,Bound,LIVE,N,18-09-2013,i,000746,,,,3535,,2828,,707
Gottlieb and Veum,Bound,LIVE,N,18-09-2013,i,000753,,,,2700,,2025,,675
Gottlieb and Veum,Bound,LIVE,N,13-09-2013,i,000760,,,,17144,176585.66,13291.2,,3852.8
Gottlieb and Veum,Bound,LIVE,N,13-09-2013,i,000767,,,,17144,,12858,,4286
Wolf and Quigley,Bound,LIVE,N,19-09-2013,i,000774,,,,12000,,9300,,2700
Wolf and Quigley,Bound,LIVE,N,01-10-2013,i,000781,,,,7086.82,,5846.62,,1240.2
Wolf and Quigley,Bound,LIVE,N,01-10-2013,i,000783,,,,4932.99,,3823.07,,1109.92
Bergnaum Group,Bound,LIVE,N,01-10-2013,i,000785,,,,8682.65,2829.1,7163.19,,1519.46
Bergnaum Group,Bound,LIVE,N,01-10-2013,i,000791,,,,14698.1,,11758.48,,2939.62
Barton-Shanahan,Bound,LIVE,N,01-10-2013,i,000797,,,,107500,747,96750,,10750
Zemlak Inc,Bound,LIVE,N,29-09-2013,i,000804,,,,245000,53955.46,245000,,0
Gottlieb and Veum,Bound,LIVE,N,23-11-2013,i,000807,,,,8451.84,,6761.47,,1690.37
Gottlieb and Veum,Bound,LIVE,N,23-11-2013,i,000814,,,,20325,,15243.75,,5081.25
Schaefer Inc,Bound,LIVE,N,01-10-2013,i,000821,,,,21000,3565.77,16800,,4200
Schaefer Inc,Bound,LIVE,N,01-10-2013,i,000824,,,,11475,,8893.12,,2581.88
Gottlieb and Veum,Bound,LIVE,N,30-09-2013,i,000827,,,,6668,336.44,5501.1,,1166.9
Gottlieb and Veum,Bound,LIVE,N,30-09-2013,i,000829,,,,30006,11880.87,23104.62,,6901.38
Gutkowski Inc.,Bound,LIVE,N,14-10-2013,i,000831,,,,5200,,3900,,1300
Gutkowski Inc.,Bound,LIVE,N,14-10-2013,i,000838,,,,6200,,4650,,1550
Gottlieb and Veum,Bound,LIVE,N,30-10-2013,i,000845,,,,42788.76,29394,32906.01,,9882.75
Gottlieb and Veum,Bound,LIVE,N,30-10-2013,i,000852,,,,20905.61,,15679.21,,5226.4
Gottlieb and Veum,Bound,LIVE,N,15-10-2013,i,000859,,,,1190.53,,894.74,,295.79
Gottlieb and Veum,Bound,LIVE,N,15-10-2013,i,000860,,,,865.05,,666.09,,198.96
Gottlieb and Veum,Bound,LIVE,N,30-09-2013,i,000861,,,,3074.7,,2396.71,,677.99
Gottlieb and Veum,Bound,LIVE,N,30-09-2013,i,000863,,,,3074.7,,2367.52,,707.18
Gottlieb and Veum,Bound,LIVE,N,21-10-2013,i,000865,,,,6500,51861.73,4776,,1724
Gottlieb and Veum,Bound,LIVE,N,21-10-2013,i,000872,,,,6500,,4875,,1625
Gottlieb and Veum,Bound,LIVE,N,25-10-2013,i,000879,,,,1546.08,,1067.26,,478.82
Gottlieb and Veum,Bound,LIVE,N,25-10-2013,i,000884,,,,1546.08,,1159.56,,386.52
Gottlieb and Veum,Bound,LIVE,N,15-03-2013,i,000889,,,,3321.45,,2444.63,,876.82
Gottlieb and Veum,Bound,LIVE,N,15-03-2013,i,000891,,,,3321.45,,2706.98,,614.47
Rodriguez and Sons,Bound,LIVE,N,27-02-2013,i,000893,,,,13281.25,400,11956.25,,1325
Rodriguez and Sons,Bound,LIVE,N,27-02-2013,i,000901,,,,6750,,5906.25,,843.75
Gottlieb and Veum,Bound,LIVE,N,19-11-2013,i,000909,,,,3083.32,,2360.66,,722.66
Gottlieb and Veum,Bound,LIVE,N,19-11-2013,i,000916,,,,3083.32,,2312.49,,770.83
Bradtke-Lind,Bound,LIVE,N,21-11-2013,i,000923,,,,2500,,2062.5,,437.5
Bradtke-Lind,Bound,LIVE,N,21-11-2013,i,000926,,,,2700,,2092.5,,607.5
Gottlieb and Veum,Bound,LIVE,N,13-11-2013,i,000929,,,,2887.5,3755.03,2242.27,,645.23
Gottlieb and Veum,Bound,LIVE,N,13-11-2013,i,000936,,,,2887.5,,2223.38,,664.12
Bergnaum Group,Bound,LIVE,N,22-11-2013,i,000943,,,,19800,,19251.54,,548.46
Bergnaum Group,Bound,LIVE,N,22-11-2013,i,000950,,,,34200,8505.84,33252.66,,947.34
Gottlieb and Veum,Bound,LIVE,N,21-11-2013,i,000957,,,,1980,,1493.58,,486.42
Gottlieb and Veum,Bound,LIVE,N,21-11-2013,i,000964,,,,1980,,1524.6,,455.4
Gottlieb and Veum,Bound,LIVE,N,01-12-2013,i,000971,,,,23532.5,2752,18401.99,,5130.51
Gottlieb and Veum,Bound,LIVE,N,01-12-2013,i,000978,,,,23532.5,,17649.38,,5883.12
Gottlieb and Veum,Bound,LIVE,N,02-12-2013,i,000985,,,,2433.75,,1867.92,,565.83
Gottlieb and Veum,Bound,LIVE,N,02-12-2013,i,000991,,,,2433.75,0,1873.99,,559.76
Gottlieb and Veum,Bound,LIVE,N,14-11-2013,i,000997,,,,1571.79,,1156.81,,414.98
Gottlieb and Veum,Bound,LIVE,N,14-11-2013,i,001004,,,,1571.79,,1210.28,,361.51
"Swaniawski, Jones and Stroman",Bound,LIVE,N,01-12-2013,i,001011,,,,24500,,20212.5,,4287.5
"Swaniawski, Jones and Stroman",Bound,LIVE,N,01-12-2013,i,001018,,,,10800,,8910,,1890
Gottlieb and Veum,Bound,LIVE,N,01-12-2013,i,001025,,,,4292.31,,3541.16,,751.15
Gottlieb and Veum,Bound,LIVE,N,01-12-2013,i,001027,,,,7895.25,,6079.34,,1815.91
Gottlieb and Veum,Bound,LIVE,N,01-07-2013,i,001029,,,,6800,,5100,,1700
Gutkowski Inc.,Bound,LIVE,N,30-09-2013,i,001036,,,,5500,,4812.5,,687.5
Gutkowski Inc.,Bound,LIVE,N,30-09-2013,i,001043,,,,13750,,12031.25,,1718.75
Schaefer Inc,Bound,LIVE,N,31-03-2013,i,001050,,,,16275,,14240.62,,2034.38
Schaefer Inc,Bound,LIVE,N,31-03-2013,i,001058,,,,13090,250,11453.75,,1636.25
Gottlieb and Veum,Bound,LIVE,N,15-03-2013,i,001066,,,,13926,273.38,10359.69,,3566.31
Gottlieb and Veum,Bound,LIVE,N,15-03-2013,i,001073,,,,13926,571.91,11349.69,,2576.31
Gottlieb and Veum,Bound,LIVE,N,12-12-2013,i,001080,,,,12697.94,900,9734.36,,2963.58
Gottlieb and Veum,Bound,LIVE,N,12-12-2013,i,001081,,,,12697.94,,9523.46,,3174.48
Wolf and Quigley,Bound,LIVE,N,28-02-2013,i,001082,,,,1800,,1485,,315
Wolf and Quigley,Bound,LIVE,N,28-02-2013,i,001086,,,,2700,,2092.5,,607.5
Gottlieb and Veum,Bound,LIVE,N,06-03-2013,i,001090,,,,2328.44,,1862.75,,465.69
Gottlieb and Veum,Bound,LIVE,N,06-03-2013,i,001098,,,,5457.75,,4093.31,,1364.44
Zemlak Inc,Bound,LIVE,N,11-03-2013,i,001106,,,,13000,,10400,,2600
Zemlak Inc,Bound,LIVE,N,11-03-2013,i,001114,,,,20000,5025,16000,,4000
Huel Wintheiser,Bound,LIVE,N,01-04-2013,i,001122,,,,201425.5651,71245.1534,194375.6692,,7049.8959
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,001130,,,,1322.89,,951.46,,371.43
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,001138,,,,1568.34,,1207.62,,360.72
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,001146,,,,3573.18,,2685.52,,887.66
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,001154,,,,4084.68,,3145.2,,939.48
Gottlieb and Veum,Bound,LIVE,N,18-02-2013,i,001162,,,,2467.13,,1895.47,,571.66
Gottlieb and Veum,Bound,LIVE,N,18-02-2013,i,001170,,,,2467.13,,1899.69,,567.44
Gottlieb and Veum,Bound,LIVE,N,06-03-2013,i,001178,,,,6571.39,,5159.05,,1412.34
Gottlieb and Veum,Bound,LIVE,N,06-03-2013,i,001179,,,,6571.39,,5059.97,,1511.42
Huel Wintheiser,Bound,LIVE,N,01-04-2013,i,001180,,,,286620,2363.67,276588.3,,10031.7
Gottlieb and Veum,Bound,LIVE,N,17-03-2013,i,001181,,,,1285.35,,920.49,,364.86
Gottlieb and Veum,Bound,LIVE,N,17-03-2013,i,001189,,,,1188,,914.76,,273.24
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,001207,,,,2003.1,,1512.64,,490.46
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,001215,,,,2003.1,,1542.39,,460.71
Gottlieb and Veum,Bound,LIVE,N,31-03-2013,i,001223,,,,2773.24,,2148,,625.24
Gottlieb and Veum,Bound,LIVE,N,31-03-2013,i,001231,,,,2773.24,,2135.39,,637.85
Gottlieb and Veum,Bound,LIVE,N,06-04-2013,i,001239,,,,1440,,1152,,288
Gottlieb and Veum,Bound,LIVE,N,06-04-2013,i,001242,,,,2080,,1560,,520
Rodriguez and Sons,Bound,LIVE,N,01-07-2013,i,001245,,,,48075,145354.25,48075,,0
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,001249,,,,1620.3,5927.91,1196.83,,423.47
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,001257,,,,1950.3,,1501.73,,448.57
Gottlieb and Veum,Bound,LIVE,N,31-07-2013,i,001265,,,,42593.51,16484.29,35223.38,,7370.13
Gottlieb and Veum,Bound,LIVE,N,31-07-2013,i,001272,,,,42593.51,1174.66,36262.2,,6331.31
Zemlak Inc,Bound,LIVE,N,10-04-2013,i,001279,,,,7500,,6000,,1500
Zemlak Inc,Bound,LIVE,N,10-04-2013,i,001283,,,,7500,,6000,,1500
Zemlak Inc,Bound,LIVE,N,01-10-2013,i,001287,,,,48250,15339.5,39806.25,,8443.75
Gottlieb and Veum,Bound,LIVE,N,15-03-2013,i,001291,,,,1994.85,,1363.45,,631.4
Gottlieb and Veum,Bound,LIVE,N,15-03-2013,i,001293,,,,1994.85,3778.25,1625.8,,369.05
Gottlieb and Veum,Bound,LIVE,N,15-04-2013,i,001295,,,,1587.09,,1169.43,,417.66
Gottlieb and Veum,Bound,LIVE,N,15-04-2013,i,001300,,,,1587.09,,1222.06,,365.03
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,001305,,,,6585.95,1265.23,5171.06,,1414.89
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,001313,,,,6585.95,,5071.18,,1514.77
Gottlieb and Veum,Bound,LIVE,N,15-04-2013,i,001321,,,,7425.69,414.91,5622.55,,1803.14
Gottlieb and Veum,Bound,LIVE,N,15-04-2013,i,001329,,,,7425.69,,5569.27,,1856.42
Gottlieb and Veum,Bound,LIVE,N,18-04-2013,i,001337,,,,3176,,2222.8,,953.2
Gottlieb and Veum,Bound,LIVE,N,18-04-2013,i,001339,,,,2940,,2205,,735
Gottlieb and Veum,Bound,LIVE,N,17-04-2013,i,001341,,,,2100,,1626.5,,473.5
Gottlieb and Veum,Bound,LIVE,N,17-04-2013,i,001343,,,,6000,,4620,,1380
Gottlieb and Veum,Bound,LIVE,N,12-04-2013,i,001345,,,,7587.54,,5997.37,,1590.17
Gottlieb and Veum,Bound,LIVE,N,12-04-2013,i,001353,,,,7587.54,,5842.4,,1745.14
Bergnaum Group,Bound,LIVE,N,25-04-2013,i,001361,,,,1250,,1031.25,,218.75
Bergnaum Group,Bound,LIVE,N,25-04-2013,i,001362,,,,2400,,1920,,480
Gutkowski Inc.,Bound,LIVE,N,04-06-2013,i,001363,,,,11500,,8625,,2875
Gutkowski Inc.,Bound,LIVE,N,04-06-2013,i,001365,,,,11000,,8250,,2750
Zemlak Inc,Bound,LIVE,N,02-05-2013,i,001367,,,,7500,,6000,,1500
Zemlak Inc,Bound,LIVE,N,02-05-2013,i,001369,,,,6000,,4800,,1200
Gottlieb and Veum,Bound,LIVE,N,01-05-2013,i,001371,,,,15000,17042,12000,,3000
Gottlieb and Veum,Bound,LIVE,N,15-03-2013,i,001373,,,,1947,,1324.45,,622.55
Gottlieb and Veum,Bound,LIVE,N,15-03-2013,i,001375,,,,1947,,1586.8,,360.2
Gottlieb and Veum,Bound,LIVE,N,11-06-2013,i,001377,,,,12995.95,1989.8,10396.76,,2599.19
Gottlieb and Veum,Bound,LIVE,N,11-06-2013,i,001380,,,,8089.6,7365,6067.2,,2022.4
Gottlieb and Veum,Bound,CANCELLED,N,01-04-2013,i,001383,,,,428.07,,316.74,,111.33
Gottlieb and Veum,Bound,CANCELLED,N,01-04-2013,i,001384,,,,428.07,,329.61,,98.46
Gottlieb and Veum,Bound,LIVE,N,10-04-2013,i,001385,,,,9826.41,385.97,7669.54,,2156.87
Gottlieb and Veum,Bound,LIVE,N,10-04-2013,i,001393,,,,7441.5,1425.95,5729.96,,1711.54
Gottlieb and Veum,Bound,LIVE,N,03-05-2013,i,001401,,,,600,,374,,226
Gottlieb and Veum,Bound,LIVE,N,03-05-2013,i,001407,,,,600,,450,,150
Gottlieb and Veum,Bound,LIVE,N,31-05-2013,i,001413,,,,26932.5,26924.7,21832.62,,5099.88
Gottlieb and Veum,Bound,LIVE,N,31-05-2013,i,001421,,,,38475,,30780,,7695
Gottlieb and Veum,Bound,LIVE,N,01-05-2013,i,001429,,,,25750,8711.45,20051.24,,5698.76
Gottlieb and Veum,Bound,LIVE,N,01-05-2013,i,001437,,,,22000,1994.27,16940,,5060
Gottlieb and Veum,Bound,LIVE,N,30-05-2013,i,001445,,,,17668.69,,14134.96,,3533.73
Gottlieb and Veum,Bound,LIVE,N,30-05-2013,i,001453,,,,14590.69,,10943.02,,3647.67
Rodriguez and Sons,Bound,LIVE,N,01-06-2013,i,001461,,,,61200,6723.5,56610,,4590
